scope,horizon,evaluation_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
semiconductor_ai,5,non_overlapping,1,ridge_decay_market,462,1.0,0.3433683300775268,0.3410655929038282,0.40853658536585363,0.3471502590673575,0.007210459525102396,-0.019739202727499953,0.010248077579388512
semiconductor_ai,5,non_overlapping,1,ridge_decay_only,462,1.0,0.3119262999445934,0.3157568379408761,0.4251497005988024,0.36787564766839376,-0.00024157357731447956,-0.0001867948219267634,0.012081174011084446
semiconductor_ai,5,non_overlapping,1,ridge_decay_volume,462,1.0,0.3340196353214499,0.33230913849193416,0.43243243243243246,0.3316062176165803,-0.0015580608403533793,0.0017441714560412775,0.010563334111018967
semiconductor_ai,5,non_overlapping,2,logistic_decay_market,440,1.0,0.33664287259355397,0.16745080411547297,0.3064516129032258,0.9925373134328358,0.01904188420711104,0.019675152593848333,0.029132546149965143
semiconductor_ai,5,non_overlapping,2,majority_baseline,440,1.0,0.3333333333333333,0.15563298490127758,0.30454545454545456,1.0,0.019157990066431506,,
semiconductor_ai,5,non_overlapping,2,ridge_current,440,1.0,0.3473513439666655,0.1902092860379846,0.3113207547169811,0.9850746268656716,0.01859317076073281,0.03747494417157409,0.010681004138558492
semiconductor_ai,5,non_overlapping,2,ridge_decay_market,440,1.0,0.3373629563851224,0.18744226605525882,0.3062200956937799,0.9552238805970149,0.01941524286700888,0.008196411459640111,0.034921023201253655
semiconductor_ai,5,non_overlapping,2,ridge_decay_only,440,1.0,0.3360918519530494,0.17408620216032164,0.30823529411764705,0.9776119402985075,0.018741784590851615,0.03406885921852395,0.010681004138558492
semiconductor_ai,5,non_overlapping,2,ridge_decay_volume,440,1.0,0.33315516240308757,0.17012280851166825,0.3104265402843602,0.9776119402985075,0.01879375103817346,0.024949146827290762,0.041438496237100976
semiconductor_ai,5,non_overlapping,3,logistic_decay_market,440,1.0,0.3984097587121103,0.38190556289799354,0.5588235294117647,0.30319148936170215,-0.00790009273389886,-0.016729459616726495,0.010729693825803483
semiconductor_ai,5,non_overlapping,3,majority_baseline,440,1.0,0.3333333333333333,0.2047244094488189,0.0,0.0,,,0.003852276734364011
semiconductor_ai,5,non_overlapping,3,ridge_current,440,1.0,0.3766656138436653,0.33941075625954836,0.5818181818181818,0.1702127659574468,-0.01917227033521664,0.003074249164109107,0.00919100972416799
semiconductor_ai,5,non_overlapping,3,ridge_decay_market,440,1.0,0.35721040189125297,0.3124854589515209,0.48148148148148145,0.13829787234042554,-0.0032169769839795943,0.007891476415313976,0.0032006741202696256
semiconductor_ai,5,non_overlapping,3,ridge_decay_only,440,1.0,0.3774533168710101,0.3267886295976184,0.5,0.13829787234042554,-0.002881555061671114,-0.001842446551910543,0.00839640100196287
semiconductor_ai,5,non_overlapping,3,ridge_decay_volume,440,1.0,0.36096706578229537,0.30659672269554267,0.4444444444444444,0.10638297872340426,0.0037731793408011397,-0.004095447016204005,0.008785332755044745
semiconductor_ai,5,non_overlapping,4,logistic_decay_market,418,1.0,0.3233383308345827,0.2960876369327074,0.32432432432432434,0.5217391304347826,0.0270159920720961,0.09374513628983183,0.03209660541053182
semiconductor_ai,5,non_overlapping,4,majority_baseline,418,1.0,0.3333333333333333,0.23794871794871794,0.0,0.0,,,0.029693258282842517
semiconductor_ai,5,non_overlapping,4,ridge_current,418,1.0,0.28990712976844907,0.2789744541798436,0.31343283582089554,0.30434782608695654,0.025826021083337262,0.030579421875766812,0.0323215089629773
semiconductor_ai,5,non_overlapping,4,ridge_decay_market,418,1.0,0.32596201899050475,0.3022065288295187,0.32608695652173914,0.43478260869565216,0.03214748228401951,0.03874853168440575,0.019847714094829563
semiconductor_ai,5,non_overlapping,4,ridge_decay_only,418,1.0,0.2932908545727136,0.2827110681855473,0.3160919540229885,0.39855072463768115,0.027949102939162987,0.03432379929311757,0.028702241628444942
semiconductor_ai,5,non_overlapping,4,ridge_decay_volume,418,1.0,0.2920102448775612,0.2819844000671093,0.3227848101265823,0.3695652173913043,0.029479669781788093,0.03261297717004843,0.027777110986668845
