scope,horizon,sample_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,20,overlapping,2,ridge_current,74196,1.0,0.3196226670814614,0.3145524182403467,0.3223388305847076,0.2481116240033571,0.0214811184786016,0.0093770610958234,0.0128461489345849
all,20,overlapping,3,logistic_global,78662,1.0,0.396809368421693,0.3567170628225164,0.4518901413713645,0.2171219964690744,0.0127314226355367,-0.0037530457863362,0.0170277802496431
all,20,overlapping,3,logistic_group,78662,1.0,0.3996375805220157,0.3661558809093792,0.4576925137988318,0.2555731769352763,0.008096626791566,-0.0004577695875395,0.0166534278786556
all,20,overlapping,3,logistic_time,78662,1.0,0.4043989905600971,0.3618689774449854,0.4698239964466159,0.25320925222179,0.0109311672157245,-0.0016863790649938,0.0183478352282999
all,20,overlapping,3,logistic_time_group,78662,1.0,0.4057260386119188,0.3695442320030466,0.4691381257056831,0.298393129656782,0.0087212637011741,0.0012015890860449,0.0170154352215475
all,20,overlapping,3,logistic_time_group_ticker,78662,1.0,0.4027700410380919,0.3635737167231376,0.4640376329904159,0.3158382955803585,0.0106219117072071,0.0014038053479002,0.0165850844160433
all,20,overlapping,3,majority_baseline,78662,1.0,0.3333333333333333,0.1984279340815676,0.0,0.0,,,0.0093299495101163
all,20,overlapping,3,ridge_current,78662,1.0,0.3589918824848044,0.3351954577371363,0.4294436549292068,0.2441425536371525,-0.0006977649231705,0.0043827521745316,0.0187108986521257
all,20,overlapping,4,logistic_global,81443,1.0,0.398434968619044,0.3296858001647602,0.4319185532983124,0.3167098445595855,0.0385950947451274,0.0177509880786028,0.0260597043446967
all,20,overlapping,4,logistic_group,81443,1.0,0.3967362101095782,0.3380204419222073,0.4190741248873035,0.3644327788382874,0.0388763909832362,0.0172788048832471,0.0217572544524397
all,20,overlapping,4,logistic_time,81443,1.0,0.3967817391675839,0.3184048767482151,0.435523635973845,0.2769975456776656,0.0451814706529663,0.0170425167464532,0.0244992425074697
all,20,overlapping,4,logistic_time_group,81443,1.0,0.3973053714635042,0.3300176051304318,0.4258710999772261,0.3187210253613308,0.0442206345244099,0.0169515980908542,0.0203035685724946
all,20,overlapping,4,logistic_time_group_ticker,81443,1.0,0.4026231623864016,0.3397402024213636,0.4285654989208036,0.3519566403054268,0.0404432160556298,0.0169202513480878,0.022151838398518
all,20,overlapping,4,majority_baseline,81443,1.0,0.3333333333333333,0.2146161680917611,0.0,0.0,,,0.0250563213741138
all,20,overlapping,4,ridge_current,81443,1.0,0.3391169857086626,0.3090695556870643,0.330249356817732,0.227536133078811,0.0225386994253408,0.0224110728057227,0.0299890353504825
all,20,overlapping,5,logistic_global,80178,1.0,0.3957916597947096,0.3439202919928371,0.3726503433446625,0.3537681493431666,0.0619936096371211,0.0056321903046448,0.0410990490231874
all,20,overlapping,5,logistic_group,80178,1.0,0.3968621674678072,0.3488401107481279,0.3720285261489698,0.3709873901162216,0.0601110859293964,0.0034919942136928,0.0426783272247037
all,20,overlapping,5,logistic_time,80178,1.0,0.3996548732196137,0.3434156186627526,0.3801226202000645,0.3878444671254074,0.0625320671515268,0.0058074049412213,0.0381543323358792
all,20,overlapping,5,logistic_time_group,80178,1.0,0.4011432884421106,0.3492834616524827,0.3793643001779468,0.4071049945675435,0.0603650237932679,0.003407518835848,0.0404187284722941
all,20,overlapping,5,logistic_time_group_ticker,80178,1.0,0.4027343286979124,0.3476330959620033,0.3834610574919037,0.3937378592829157,0.0644116149238859,0.0055881324138488,0.0346378696138776
all,20,overlapping,5,majority_baseline,80178,1.0,0.3333333333333333,0.2151453205160694,0.0,0.0,,,0.0355227439355616
all,20,overlapping,5,ridge_current,80178,1.0,0.3786537302099622,0.3073734263900295,0.3711714132186996,0.0909689526882428,0.019120806403293,0.0176852136869955,0.0555928926938163
all,20,non_overlapping,0,logistic_global,19137,1.0,0.3926241966660144,0.3523338403096243,0.3778897966278463,0.3078884010763348,0.036887457571064,0.0094050117313989,0.0269652222239056
all,20,non_overlapping,0,logistic_group,19137,1.0,0.3922946532202291,0.3585392220168082,0.3769931662870159,0.3281404900155785,0.0361868486509811,0.0083576177050452,0.0263645842332392
all,20,non_overlapping,0,logistic_time,19137,1.0,0.3976753078784193,0.3527899845649964,0.3927508317282437,0.3176603880470188,0.034572683378009,0.010955049196428,0.0285259826244246
all,20,non_overlapping,0,logistic_time_group,19137,1.0,0.3979249451136257,0.3584114775254203,0.3873355263157895,0.3335221639994335,0.0358190916335274,0.0097719022328849,0.0265296143089921
all,20,non_overlapping,0,logistic_time_group_ticker,19137,1.0,0.4011842491597346,0.3587096434740613,0.3932438984968482,0.3445687579662937,0.0362508430195369,0.010045024392954,0.0260168431972813
all,20,non_overlapping,0,majority_baseline,19137,1.0,0.3333333333333333,0.211690025320067,0.0,0.0,,,0.02317613650083
all,20,non_overlapping,0,ridge_current,19137,1.0,0.3432084489021962,0.3291026815305393,0.3329338925504294,0.2360855402917434,0.0195616423045407,0.0139684581762769,0.0317257391691785
all,20,non_overlapping,1,logistic_global,3347,1.0,0.3544409953633152,0.3245287330515545,0.2831149927219796,0.3711832061068702,0.0424839692656189,0.0115405249035552,0.0146959451862211
all,20,non_overlapping,1,logistic_group,3347,1.0,0.3569864862378336,0.334274936373021,0.2885174418604651,0.3788167938931298,0.0412567682102377,0.0063048576350491,0.021448104933758
