scope,horizon,sample_mode,fold,specification,sample_count,balanced_accuracy,macro_f1,down_precision,down_recall,down_coverage,mean_return_predicted_down,median_return_predicted_down,mean_mae_predicted_down
software,5,overlapping,2,logistic_regime_prior,29151,0.40739573876312396,0.36875508825011755,0.44059551886792453,0.2569635488308116,0.23271928921820864,0.006413003334964948,-0.0001537876420088513,-0.06487223644557273
software,5,overlapping,2,majority_baseline,29151,0.3333333333333333,0.19886222307809578,0.0,0.0,0.0,,,
software,5,overlapping,2,ridge_current,29151,0.3391035988517854,0.3317382845027473,0.3587976042490677,0.2729539202200825,0.30355733937086204,0.00460361266756112,0.0032933427428840645,-0.04250302387975387
software,5,overlapping,3,logistic_global,31940,0.41687282380346335,0.3824802745065185,0.4773379947558996,0.2858317757009346,0.2507514088916719,-0.0015006754086094897,-0.006057091307429596,-0.07132007775316626
software,5,overlapping,3,logistic_regime_prior,31940,0.4066046193821742,0.3727226366095711,0.46539119614247937,0.22370093457943926,0.20128365685660612,0.002751250443943203,-0.004116373335589674,-0.06815761855455953
software,5,overlapping,3,majority_baseline,31940,0.3333333333333333,0.20199022346368714,0.0,0.0,0.0,,,
software,5,overlapping,3,ridge_current,31940,0.3660626659137005,0.3325289061243286,0.42495201535508637,0.24829906542056074,0.24467752035065748,-0.003132121986393562,-0.0016288951841358923,-0.04692236347983617
software,5,overlapping,4,logistic_global,32697,0.3921429663330874,0.328943423564416,0.41367959034381857,0.2802279484638256,0.25084870171575374,0.01554854965482784,0.004802034158850277,-0.06338706334250548
software,5,overlapping,4,logistic_regime_prior,32697,0.3935012725069358,0.323472977997975,0.4145697030699547,0.27213412619755534,0.2430804049301159,0.01596641493765145,0.00534608010117088,-0.06479661181193022
software,5,overlapping,4,majority_baseline,32697,0.3333333333333333,0.20519660146216165,0.0,0.0,0.0,,,
software,5,overlapping,4,ridge_current,32697,0.3472825072636829,0.29398084574674144,0.344449590859966,0.18425834159233564,0.19809156803376457,0.011433898076244594,0.0049361907055140986,-0.03987892688913167
software,5,overlapping,5,logistic_global,34460,0.40727900574899834,0.37208656201153784,0.4492741390952059,0.3590798704803022,0.3438189204875218,0.0071210555085240365,0.0,-0.06700050571093011
software,5,overlapping,5,logistic_regime_prior,34460,0.4151263300514867,0.37679379318406125,0.46313014300551253,0.39105504587155965,0.36323273360417874,0.004597992794904442,-0.0024896265560166997,-0.06835167801983337
software,5,overlapping,5,majority_baseline,34460,0.3333333333333333,0.19683552501516796,0.0,0.0,0.0,,,
software,5,overlapping,5,ridge_current,34460,0.3793509205316561,0.27579401879642645,0.44127975029262584,0.07629519697787372,0.07437608821822403,0.001936518286372051,-0.00121873308599163,-0.05500308025594386
software,5,non_overlapping,0,logistic_global,30474,0.4092798620725579,0.3676528577756441,0.4235646760433479,0.306294289287203,0.28463608321848133,0.0085159444082706,0.0033097836168946015,-0.06450070389656283
software,5,non_overlapping,0,logistic_regime_prior,30474,0.410039303031881,0.36811528451722636,0.42946671396476294,0.3027928303459775,0.2775152589092341,0.008046094912766914,0.0022530980097634767,-0.06417306614243164
software,5,non_overlapping,0,majority_baseline,30474,0.3333333333333333,0.20399301601761177,0.0,0.0,0.0,,,
software,5,non_overlapping,0,ridge_current,30474,0.3562726715554516,0.3270482699809272,0.3778719912472648,0.23034597749062108,0.2399422458489204,0.0036812452545406035,0.0021867452236916662,-0.04503255813668814
software,5,non_overlapping,1,logistic_global,4743,0.3807426186819545,0.3428009576983288,0.3485103991006183,0.3701492537313433,0.37507906388361795,0.013105331834849548,0.00991649269311079,-0.0530976598261209
software,5,non_overlapping,1,logistic_regime_prior,4743,0.3780654509169728,0.3356595641663986,0.3570615034168565,0.3743283582089552,0.37022981235504954,0.011484400007405866,0.008737636293858708,-0.05119055886914641
software,5,non_overlapping,1,majority_baseline,4743,0.3333333333333333,0.20953207074357863,0.0,0.0,0.0,,,
software,5,non_overlapping,1,ridge_current,4743,0.3488226927410043,0.3455866926710081,0.3525733525733526,0.4376119402985075,0.43833017077798864,0.004681111298472399,0.003379224030037431,-0.04327261549441412
software,5,non_overlapping,2,logistic_global,5853,0.4207963638341959,0.37872192744630345,0.43837638376383764,0.2559241706161137,0.2315052110029045,0.00593056161010377,9.409108016567025e-05,-0.06611600633848382
