scope,horizon,regime,regime_version,regime_start,regime_end,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current,comparable_fold_count
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,logistic_decay_market,189147,1.0,0.38937734469998336,0.3799064096934481,0.42031082771823514,0.376980693310259,0.007408648237427968,0.0024006831412061586,0.0035878029002220577,,,overlapping,0.38706402956430713,0.4251319579388377,0.39011558793029316,1.0,4
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,majority_baseline,189147,1.0,0.3333333333333333,0.19653942085071638,0.0,0.0,,,0.004612518345318363,,,overlapping,0.41805579787149677,0.41805579787149677,1.0,0.0,4
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_current,189147,1.0,0.35094552350402214,0.3255059143299064,0.37254504213768047,0.27313287545292303,0.005750557444530455,0.0022811010629640517,0.006676295901948697,0.05997545053934884,-0.010236591002048231,overlapping,0.3276287755026514,0.4355346185269526,0.31685509775653187,,0
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_decay_market,189147,1.0,0.35169373965925804,0.3311677890657121,0.37905912818299525,0.29686063490346654,0.005875080131639009,0.0022864576387113377,0.006229987441952586,0.06267903642821172,-0.007992547959908265,overlapping,0.33441185955896735,0.4352051652365984,0.323924425221944,0.5,4
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_decay_only,189147,1.0,0.3502943429482291,0.3309890218926692,0.37400072517568245,0.29285868801038345,0.005738909570494944,0.002307443622008374,0.006230745460011778,0.0625345942096473,-0.010846507224462374,overlapping,0.3348030896604228,0.4350299302179449,0.332701014239826,0.25,4
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_decay_volume,189147,1.0,0.35208126863187655,0.33144645436977677,0.37955751602453647,0.2978205613541723,0.005796121757500245,0.0022981051170547066,0.006300857557743025,0.06266295182987158,-0.007620969656477797,overlapping,0.33463919596927255,0.4356329286591188,0.32310241040038445,0.5,4
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-07,logistic_decay_market,2431,1.0,0.3298477638871918,0.24399336819110798,0.28865979381443296,0.030939226519337018,0.12836540801086824,-0.02873612233713391,0.011287502675491098,,,non_overlapping,0.4821061291649527,0.4915839447561502,0.9428807947019867,0.3333333333333333,3
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-07,majority_baseline,2431,1.0,0.3333333333333333,0.22130621965741504,0.0,0.0,,,0.015679174905979358,,,non_overlapping,0.49691484985602635,0.49691484985602635,1.0,0.3333333333333333,3
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-07,ridge_current,2431,1.0,0.39539645277281305,0.3877328001649471,0.4855195911413969,0.3149171270718232,-0.003980449465566353,0.006874343539572256,0.02758747444617332,0.07988297133931715,0.20336672675116896,non_overlapping,0.455779514603044,0.5525727069351231,0.6134105960264901,,0
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-07,ridge_decay_market,2431,1.0,0.39273735171594265,0.38187653399030186,0.424483306836248,0.2950276243093923,0.005037571124319672,0.00011165591009256338,0.02692202474439191,0.09242825599001253,0.1647936636976047,non_overlapping,0.4450843274372686,0.5594135802469136,0.6001655629139073,0.6666666666666666,3
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-07,ridge_decay_only,2431,1.0,0.39532345413441106,0.38705767615107084,0.4432515337423313,0.31933701657458563,0.0019303373746118945,-0.001766495258127981,0.029655413062687836,0.09127906148386594,0.18920877292118796,non_overlapping,0.4516659810777458,0.5687352710133543,0.5993377483443708,0.3333333333333333,3
all,5,acute_selloff,market_regime_v1,2020-02-25,2025-04-07,ridge_decay_volume,2431,1.0,0.38080787614405187,0.3737942674212427,0.41916167664670656,0.30939226519337015,0.005432991248555082,-0.00019275400877650516,0.027381799720339887,0.09279874322432155,0.16350272890077092,non_overlapping,0.4393253805018511,0.56215360253365,0.5877483443708609,0.0,3
all,5,correction,market_regime_v1,2020-03-03,2026-03-31,logistic_decay_market,11353,1.0,0.34676155340762377,0.3074577473648454,0.3799212598425197,0.14091019712825506,0.010849715651662258,-0.008217564167805206,0.008333352312822156,,,non_overlapping,0.4778472650400775,0.5013689974726201,0.8470023127557375,0.25,4
