variant,horizon,fold,group,regime,sample_count,support_hold_rate,support_break_rate,first_bounce_delay,maximum_favorable_excursion,maximum_adverse_excursion,final_return,eligible_count,unavailable_count,max_adverse_excursion,sample_mode,regime_scope,comparison_scope
baseline,5,1,semiconductor,all,2472,0.5303398058252428,0.4696601941747573,1.5353697749196142,0.04333307274578062,-0.04063535436005329,0.0021404479110057398,73886,4936,-0.04063535436005329,non_overlapping,all,all_eligible
baseline,5,1,software,all,3785,0.5910171730515191,0.40898282694848087,1.7004581901489118,0.04424811800255165,-0.037185185051274404,0.009430042228623597,131931,8995,-0.037185185051274404,non_overlapping,all,all_eligible
baseline,5,2,other,all,4740,0.5875527426160337,0.41244725738396626,1.6441913439635536,0.0435011809656327,-0.037734460889361415,0.005704374455970264,151384,8303,-0.037734460889361415,non_overlapping,all,all_eligible
baseline,5,2,semiconductor,all,2441,0.556739041376485,0.44326095862351494,1.3857251328777525,0.05033959998424563,-0.0426887851797577,0.007152332887025218,73886,4936,-0.0426887851797577,non_overlapping,all,all_eligible
baseline,5,2,software,all,4087,0.5703449963298263,0.42965500367017373,1.5766990291262135,0.04884580204394122,-0.041394705432250864,0.008850149014466648,131931,8995,-0.041394705432250864,non_overlapping,all,all_eligible
baseline,5,3,other,all,5068,0.5301894238358327,0.4698105761641673,1.580672626649638,0.03852459725726956,-0.038092774914320095,0.0010892239819762046,151384,8303,-0.038092774914320095,non_overlapping,all,all_eligible
baseline,5,3,semiconductor,all,2584,0.4794891640866873,0.5205108359133127,1.331373989713446,0.04965618239835708,-0.04728913595090085,0.0020789203529020367,73886,4936,-0.04728913595090085,non_overlapping,all,all_eligible
baseline,5,3,software,all,4791,0.4946775203506575,0.5053224796493425,1.4014026402640265,0.04941828860368262,-0.05031754894624008,-0.0017670434354161062,131931,8995,-0.05031754894624008,non_overlapping,all,all_eligible
baseline,5,4,other,all,5615,0.5611754229741763,0.43882457702582367,1.7098947368421054,0.03495332221210079,-0.03180333664598546,0.00231803166110888,151384,8303,-0.03180333664598546,non_overlapping,all,all_eligible
baseline,5,4,semiconductor,all,2787,0.5077143882310728,0.49228561176892716,1.3987206823027718,0.04777447591822272,-0.04499628847454298,0.0006858114319283746,73886,4936,-0.04499628847454298,non_overlapping,all,all_eligible
baseline,5,4,software,all,5581,0.5579645224870095,0.4420354775129905,1.6097006441834028,0.04283280846304611,-0.03697245189517615,0.00420428187986369,131931,8995,-0.03697245189517615,non_overlapping,all,all_eligible
baseline,5,5,other,all,5453,0.5558408215661104,0.4441591784338896,1.5876910699919549,0.03997103663170194,-0.03661482538606287,0.003701752793167059,151384,8303,-0.03661482538606287,non_overlapping,all,all_eligible
baseline,5,5,semiconductor,all,2468,0.5251215559157212,0.47487844408427876,1.3218390804597702,0.07046522313609199,-0.055747993172979994,0.012368698414011755,73886,4936,-0.055747993172979994,non_overlapping,all,all_eligible
baseline,5,5,software,all,5289,0.5061448288901493,0.4938551711098506,1.4095013741656852,0.050176926775038704,-0.0471381065024726,0.001562789291492998,131931,8995,-0.0471381065024726,non_overlapping,all,all_eligible
baseline,10,1,other,all,2627,0.43928435477731254,0.5607156452226875,3.075261324041812,0.04589385258133691,-0.04481516143851717,0.001614582087548365,151384,8303,-0.04481516143851717,non_overlapping,all,all_eligible
baseline,10,1,semiconductor,all,1247,0.4202085004009623,0.5797914995990376,2.539900249376559,0.06355038061266038,-0.05961166768443741,0.0035373492229653332,73886,4936,-0.05961166768443741,non_overlapping,all,all_eligible
baseline,10,1,software,all,1906,0.4695697796432319,0.5304302203567681,2.997413793103448,0.06738214506322313,-0.05374814754346213,0.01822275110923255,131931,8995,-0.05374814754346213,non_overlapping,all,all_eligible
baseline,10,2,other,all,2392,0.4765886287625418,0.5234113712374582,2.938679245283019,0.06565552297244397,-0.05319684335051247,0.011768229779246514,151384,8303,-0.05319684335051247,non_overlapping,all,all_eligible
baseline,10,2,semiconductor,all,1229,0.45728234336859236,0.5427176566314077,2.569428238039673,0.0806369191234654,-0.059789664068894126,0.019269816790214004,73886,4936,-0.059789664068894126,non_overlapping,all,all_eligible
baseline,10,2,software,all,2062,0.4713870029097963,0.5286129970902037,2.8173285198555957,0.08074053700506519,-0.05761748738385671,0.0200358353235448,131931,8995,-0.05761748738385671,non_overlapping,all,all_eligible
baseline,10,3,other,all,2558,0.39601250977326036,0.6039874902267396,2.7605545053560174,0.05533604499348325,-0.05557187900446401,0.0007482856212330054,151384,8303,-0.05557187900446401,non_overlapping,all,all_eligible
baseline,10,3,semiconductor,all,1304,0.3504601226993865,0.6495398773006135,2.3616279069767443,0.0724876129357168,-0.06886778889484939,0.0009029605677309675,73886,4936,-0.06886778889484939,non_overlapping,all,all_eligible
baseline,10,3,software,all,2417,0.37567232105916426,0.6243276789408357,2.431891542930923,0.07280204114066662,-0.07235941539800743,-0.003457252618628334,131931,8995,-0.07235941539800743,non_overlapping,all,all_eligible
baseline,10,4,other,all,2829,0.43124779073877695,0.568752209261223,3.212829736211031,0.05207825894877185,-0.045362826145669624,0.006602353695907395,151384,8303,-0.045362826145669624,non_overlapping,all,all_eligible
baseline,10,4,semiconductor,all,1408,0.37855113636363635,0.6214488636363636,2.4966887417218544,0.07386522408441082,-0.06521147036559959,0.0041256549666947055,73886,4936,-0.06521147036559959,non_overlapping,all,all_eligible
baseline,10,4,software,all,2811,0.43223052294557096,0.567769477054429,2.888888888888889,0.06633971139970408,-0.05313331779651359,0.011823323843075662,131931,8995,-0.05313331779651359,non_overlapping,all,all_eligible
baseline,10,5,other,all,2713,0.4305197198673056,0.5694802801326945,2.9541939321832245,0.060346704905692605,-0.05240785761059975,0.007292760378276845,151384,8303,-0.05240785761059975,non_overlapping,all,all_eligible
baseline,10,5,semiconductor,all,1231,0.43135662063363117,0.5686433793663688,2.207464324917673,0.11472799447229126,-0.07493764991400254,0.029426028392080493,73886,4936,-0.07493764991400254,non_overlapping,all,all_eligible
baseline,10,5,software,all,2644,0.3710287443267776,0.6289712556732224,2.5113011606597433,0.0780734693706568,-0.06748369959990723,0.006467391929574905,131931,8995,-0.06748369959990723,non_overlapping,all,all_eligible
baseline,20,1,other,all,1334,0.3313343328335832,0.6686656671664168,5.041170097508125,0.06735350511120837,-0.06259325873344963,0.0036076115728619373,151384,8303,-0.06259325873344963,non_overlapping,all,all_eligible
baseline,20,1,semiconductor,all,635,0.30866141732283464,0.6913385826771653,4.394366197183099,0.09637817653339785,-0.08183941966088437,0.012041508859224068,73886,4936,-0.08183941966088437,non_overlapping,all,all_eligible
baseline,20,1,software,all,968,0.3419421487603306,0.6580578512396694,4.833333333333333,0.10971769731795314,-0.07535387268735261,0.02515937241977554,131931,8995,-0.07535387268735261,non_overlapping,all,all_eligible
baseline,20,2,other,all,1215,0.36378600823045265,0.6362139917695473,5.08075221238938,0.11057876311110537,-0.07832332309272126,0.029012101221086377,151384,8303,-0.07832332309272126,non_overlapping,all,all_eligible
baseline,20,2,semiconductor,all,627,0.3763955342902711,0.6236044657097288,4.218253968253968,0.12360057259724173,-0.0817851391812266,0.034008339494265176,73886,4936,-0.0817851391812266,non_overlapping,all,all_eligible
baseline,20,2,software,all,1048,0.36927480916030536,0.6307251908396947,4.364764267990075,0.11363139505157323,-0.08153652056877575,0.03126714597033536,131931,8995,-0.08153652056877575,non_overlapping,all,all_eligible
baseline,20,3,other,all,1300,0.2784615384615385,0.7215384615384616,4.263440860215054,0.08112094819068122,-0.07928758843085192,0.002823166063843319,151384,8303,-0.07928758843085192,non_overlapping,all,all_eligible
baseline,20,3,semiconductor,all,666,0.24924924924924924,0.7507507507507507,3.931174089068826,0.10887880471552785,-0.09727288239415058,0.008927678069300607,73886,4936,-0.09727288239415058,non_overlapping,all,all_eligible
baseline,20,3,software,all,1229,0.2701383238405207,0.7298616761594793,3.796008869179601,0.10922661640499867,-0.10367685874874973,-0.00306426949853146,131931,8995,-0.10367685874874973,non_overlapping,all,all_eligible
baseline,20,4,other,all,1433,0.322400558269365,0.677599441730635,5.271676300578035,0.07967773514640931,-0.06506193865936688,0.012660964300697276,151384,8303,-0.06506193865936688,non_overlapping,all,all_eligible
baseline,20,4,semiconductor,all,717,0.23709902370990238,0.7629009762900977,4.073937153419593,0.10832120313258674,-0.09638105977342769,0.00575602979535133,73886,4936,-0.09638105977342769,non_overlapping,all,all_eligible
baseline,20,4,software,all,1425,0.33052631578947367,0.6694736842105263,4.667889908256881,0.1066409380297704,-0.0758857739936924,0.02464977960543584,131931,8995,-0.0758857739936924,non_overlapping,all,all_eligible
baseline,20,5,other,all,1349,0.3172720533728688,0.6827279466271312,4.725099601593626,0.09904312202141577,-0.070356158009255,0.025943234837034843,151384,8303,-0.070356158009255,non_overlapping,all,all_eligible
