ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
OKP,O Okiep Copper Ltd,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
PDM1,Pitt Des Moines Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
PGV,PGV,NYSE MKT,success,clean,523,523,0,0,2016-01-04,2018-01-30,20,True,55519,False
PRB1,Black Raven Energy Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
RNJ,Blackrock New Jersey Investment Quality Municipal Trust Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
SCVX-U,SCVX-U,NYSE MKT,success,clean,416,416,0,0,2020-03-20,2021-12-17,416,True,45191,True
SPHC,Samaritan Pharmaceuticals Inc,NYSE MKT,success,clean,1550,1550,0,0,2016-01-04,2022-03-02,1049,True,160582,False
SSB1,Scotland Bancorp Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
VMV,Invesco Van Kampen Massachusetts Value Municipal Income Trust,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
VRY,Victory Acquisition Corp,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
WBEV,Winc Inc,NYSE MKT,success,clean,315,315,0,0,2021-11-11,2023-02-13,315,True,34320,False
WGP,Western Midstream Partners LP,NYSE MKT,success,clean,793,793,0,0,2016-01-04,2019-02-27,290,True,90815,False
WRAC-WS,WRAC-WS,NYSE MKT,success,clean,51,51,0,0,2021-09-16,2021-12-17,51,True,5421,True
XLL,Exel Plc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
XZL,Select Therapeutics Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
