scope,horizon,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current
software,5,majority_baseline,147123,1.0,0.3333333333333333,0.20279916510596974,0.0,0.0,,,0.004576856381915969,,,overlapping,0.43719200940709474,0.43719200940709474,1.0,0.25
software,5,ridge_current,147123,1.0,0.3429839941722565,0.34108103607923734,0.3832780715117842,0.3659559175850503,0.004324464872417661,0.0017896092634858913,0.00617822406294417,0.08510472844853308,0.006237400265020203,overlapping,0.3714578957742841,0.44999346533359474,0.4282427201069635,
software,5,ridge_decay_market,147123,1.0,0.3406100530593268,0.3401098895935284,0.3872484110169492,0.40036963515641044,0.004924972226373465,0.002055321280604107,0.005329875546420721,0.09477543049376291,-0.00506614865145228,overlapping,0.37487000672906345,0.4432015908525976,0.4158051025326099,0.25
software,5,ridge_decay_only,147123,1.0,0.3396370096320003,0.3392629019399873,0.3825791062701206,0.39249777534396607,0.004916364007882256,0.001976309388954686,0.005353468766131333,0.0949606434009995,-0.005606227849371327,overlapping,0.3741427241151961,0.44385341822288416,0.4216196887486202,0.0
software,5,ridge_decay_volume,147123,1.0,0.34008554206313707,0.3395487112347033,0.386255651459104,0.4020466835512355,0.005034135990407945,0.00193915388867696,0.005274731105140225,0.09525767548522159,-0.005823232171208687,overlapping,0.37408155081122596,0.4428418803418803,0.41243139876556645,0.0
software,5,logistic_decay_market,29510,1.0,0.375294707411826,0.36664926384624247,0.4296853244221665,0.26272773710199215,0.006473240190339564,0.001880617648886579,0.004618097506816572,,,non_overlapping,0.4217214503558116,0.4515372873964239,0.6400587280735647,1.0
software,5,majority_baseline,29510,1.0,0.3333333333333333,0.20323039111760224,0.0,0.0,,,0.004700019397669469,,,non_overlapping,0.43852931209759405,0.43852931209759405,1.0,0.25
software,5,ridge_current,29510,1.0,0.33948302952680515,0.3373062772905054,0.3787046212052968,0.3579090754299336,0.005255178309846772,0.001422273087250258,0.005791403147284698,0.08601091845413421,-0.0002740542465253537,non_overlapping,0.3675025415113521,0.4441935483870968,0.4256239857816243,
software,5,ridge_decay_market,29510,1.0,0.33877314888066773,0.33824946214354296,0.3854080791426216,0.3980078324536012,0.005494567208162893,0.0011861397384224594,0.005417248946749856,0.0955324120245181,-0.008633180409115782,non_overlapping,0.37350050830227044,0.4412635735439289,0.4144965613167452,0.25
software,5,ridge_decay_only,29510,1.0,0.33940053384658464,0.3391085046326227,0.3842776673293572,0.39494295930529544,0.0050830919228002265,0.0020837265816652227,0.005405591968320835,0.09527801583536435,-0.005218175863252375,non_overlapping,0.37553371738393765,0.4439312915248744,0.42338304613244726,0.25
software,5,ridge_decay_volume,29510,1.0,0.33835359273195126,0.33783326524434965,0.3860369609856263,0.40013621658436915,0.005359551132030702,0.0009492994133358138,0.005658739299508521,0.09568171957963223,-0.005871303284779309,non_overlapping,0.37343273466621485,0.4418643087348153,0.41318290703964144,0.25
software,20,logistic_decay_market,145638,1.0,0.3403305797231906,0.32902448752893415,0.3864988175716026,0.2838048797600463,0.04206977486367986,0.010122052599612878,0.012955813180750472,,,overlapping,0.42409261319161207,0.4527802477305155,0.6547846889952154,0.75
software,20,majority_baseline,145638,1.0,0.3333333333333333,0.20980183639346628,0.0,0.0,,,0.021187180883626,,,overlapping,0.4592208077562175,0.4592208077562175,1.0,0.25
