sample_count,coverage,event_rate,signal_rate,precision,recall,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,mean_mae_when_signaled,scope,horizon,regime_scope,sample_mode,specification,comparable_fold_count,fold_win_rate_vs_ridge_down
4152,1.0,0.4766377649325626,0.21290944123314065,0.4490950226244344,0.20060636685194544,0.7758858720662678,0.4882461194591066,0.48824611945910656,0.4711125154649896,0.4983140655105973,-0.06328142242275786,software,5,acute_selloff,overlapping,ridge_down,0,
23113,1.0,0.4439060269112621,0.11958637995933025,0.46960926193921854,0.12651072124756335,0.8859410254415312,0.5062258733445473,0.5062258733445473,0.4471577617130445,0.45117466360922426,-0.06833051709948425,software,5,correction,overlapping,general_logistic_down,4,0.75
23113,1.0,0.4439060269112621,0.0,,0.0,1.0,0.5,0.5,0.4439060269112621,0.4439060269112621,,software,5,correction,overlapping,negative_baseline,4,0.5
23113,1.0,0.4439060269112621,0.55323843724311,0.556971924610933,0.6941520467836257,0.5592468684353847,0.6266994576095053,0.6695170414777142,0.599028537742734,0.23853210472179295,-0.07934340139172132,software,5,correction,overlapping,pressure_downside_logistic_v1,4,1.0
23113,1.0,0.4439060269112621,0.24068705923073594,0.3785727125651627,0.20526315789473684,0.731035555901346,0.4681493568980414,0.4681493568980414,0.43049550449285223,0.5023579803573747,-0.05433078108831847,software,5,correction,overlapping,ridge_down,0,
32653,1.0,0.35341316264968,0.17205157259669862,0.4562121751512994,0.22209705372616984,0.8553024203097618,0.5386997370179658,0.5386997370179659,0.3762445204522493,0.3684806909012954,-0.06627666435623922,software,5,under_pressure,overlapping,general_logistic_down,4,1.0
32653,1.0,0.35341316264968,0.0,,0.0,1.0,0.5,0.5,0.35341316264968,0.35341316264968,,software,5,under_pressure,overlapping,negative_baseline,4,1.0
32653,1.0,0.35341316264968,0.41888953541787893,0.5233952332212312,0.6203639514731369,0.6912328896888174,0.6557984205809771,0.7179546865135454,0.5778766663934192,0.21949666474696475,-0.0705349739890035,software,5,under_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
32653,1.0,0.35341316264968,0.2217560407925765,0.28462919486258803,0.17859618717504333,0.7546535309998579,0.4666248590874506,0.46662485908745055,0.3411286082641343,0.4489327167488439,-0.041563447680436516,software,5,under_pressure,overlapping,ridge_down,0,
57259,1.0,0.3097853612532528,0.1298311182521525,0.41740651062684964,0.1749351674371406,0.8904126919865388,0.5326739297118397,0.5326739297118397,0.32861208503870043,0.33123177142457955,-0.05882404250191097,other,5,all_pressure,overlapping,general_logistic_down,4,1.0
57259,1.0,0.3097853612532528,0.0,,0.0,1.0,0.5,0.5,0.3097853612532528,0.3097853612532528,,other,5,all_pressure,overlapping,negative_baseline,4,1.0
57259,1.0,0.3097853612532528,0.30327110148622927,0.5028505614742298,0.4922764685984891,0.7815591710736064,0.6369178198360478,0.6893438684704403,0.5056565700656547,0.21423789743486243,-0.07123345727102262,other,5,all_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
57259,1.0,0.3097853612532528,0.29267014792434376,0.25784699844850223,0.24360130792648552,0.6853065458869968,0.46445392690674114,0.4644539269067412,0.29713310814245525,0.4515272708220542,-0.03907954072273198,other,5,all_pressure,overlapping,ridge_down,0,
